HD,total_2016,dem_2016,gop_2016,total_2012,dem_2012,gop_2012,total_2008,dem_2008,gop_2008,fips_code
1,6703,2573,3180,7722,1518,5899,6970,2597,4149,2901
2,5530,1585,3188,9058,3096,5509,7735,3468,4029,2902
3,7658,1241,5403,6069,2034,3769,8767,5657,2829,2903
4,9592,4162,4070,6787,2864,3586,8736,4161,4302,2904
5,7969,3187,3683,8143,3644,4027,7123,3393,3426,2905
6,8526,2536,4929,7793,2145,5254,6824,2351,4234,2906
7,8358,1510,5935,7575,1962,5247,10894,4283,6297,2907
8,8127,1218,6126,8242,2083,5826,10320,4995,4983,2908
9,9011,1843,6100,7408,1667,5432,7143,2805,4141,2909
10,9097,1808,6255,6570,1344,4928,5615,2074,3392,2910
11,9774,2142,6444,8631,2222,6057,9866,1924,7736,2911
12,9626,1928,6629,6482,1901,4300,7589,1914,5467,2912
13,6584,1684,4028,5707,2425,3078,11526,2800,8432,2913
14,10485,3043,5978,7068,3340,3453,10456,2132,8108,2914
15,5008,1828,2525,6451,3283,2875,11086,2510,8227,2915
16,7490,3294,3203,7181,4013,2876,10697,2636,7774,2916
17,6846,3290,2618,4589,2853,1542,9448,2645,6621,2917
18,7477,3909,2684,6930,4247,2369,6411,2046,4252,2918
19,4838,2669,1636,8286,4126,3855,7372,3095,4106,2919
20,7221,4151,2187,7964,3081,4544,5138,2474,2536,2920
21,8710,4224,3479,8866,3316,5262,8675,3647,4837,2921
22,8432,3270,4203,6555,2859,3445,6634,3337,3109,2922
23,6977,2894,3246,8370,3167,4926,7082,4075,2808,2923
24,9365,3578,4709,7289,3128,3912,7688,3380,4127,2924
25,8183,3378,3816,8661,3739,4569,6443,3233,3042,2925
26,8986,3374,4548,10491,3169,6968,8695,4472,4037,2926
27,8838,3729,4085,10823,4463,6015,8498,3130,5159,2927
28,11528,4749,5423,8449,2188,5882,9792,3642,5953,2928
29,9451,2101,6347,8011,1933,5774,6962,2684,4127,2929
30,9025,1816,6194,9505,3578,5492,9183,3486,5500,2930
31,10241,3466,5617,9335,4679,4219,10220,3596,6419,2931
32,7540,2701,3764,9528,5930,3095,12307,5176,6867,2932
33,10023,5978,2732,7471,2716,4289,8909,2089,6571,2933
34,9510,4220,3955,8637,4662,3523,9548,1920,7358,2934
35,9145,3749,4105,6932,2830,3804,9503,4254,4959,2935
36,8354,2693,4460,4972,3341,1386,6673,2264,4201,2936
37,5149,2421,1938,4335,2631,1517,4665,1868,2661,2937
38,5151,2758,1143,6814,4101,2259,4820,2549,2056,2938
39,5737,3142,1405,6560,3645,2566,5184,2695,2323,2939
40,4666,2338,1377,4235,2717,1347,5000,2137,2686,2940
