fips_code,county,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016
26041,Delta County,19064,9974,8763,327,18043,8330,9533,180,18467,6431,11112,924
48295,Lipscomb County,1256,155,1093,8,1168,119,1044,5,1322,135,1159,28
01127,Walker County,28652,7420,20722,510,28497,6551,21633,313,29243,4486,24208,549
48389,Reeves County,3077,1606,1445,26,2867,1649,1185,33,3184,1659,1417,108
56017,Hot Springs County,2546,619,1834,93,2495,523,1894,78,2535,400,1939,196
20043,Doniphan County,3564,1115,2372,77,3369,885,2397,87,3366,584,2601,181
37183,Wake County,442245,250891,187001,4353,526805,286939,232933,6933,510940,298353,193607,18980
37147,Pitt County,74884,40501,33927,456,76814,40701,35534,579,78264,40967,35191,2106
48497,Wise County,20639,4471,15973,195,20692,3219,17178,295,24661,3412,20655,594
21207,Russell County,7475,1569,5779,127,7907,1445,6346,116,8171,1093,6863,215
05053,Grant County,6793,1562,5023,208,6478,1467,4829,182,6855,1407,5160,288
31147,Richardson County,3968,1513,2342,113,3680,1180,2407,93,3666,798,2684,184
47123,Monroe County,16777,5053,11484,240,16320,4368,11717,235,17050,3184,13361,505
36059,Nassau County,635618,342185,288776,4657,460824,243649,212882,4293,599649,307326,275479,16844
01011,Bullock County,5415,4011,1391,13,5318,4058,1250,10,4701,3530,1139,32
42057,Fulton County,6306,1576,4642,88,6148,1297,4780,71,6743,904,5676,163
20031,Coffey County,4232,1121,3054,57,3839,884,2860,95,3962,719,2990,253
31151,Saline County,5251,2674,2434,143,4832,2232,2518,82,4795,1630,2849,316
31035,Clay County,3033,780,2177,76,2916,662,2213,41,2973,470,2373,130
28033,DeSoto County,64323,19627,44222,474,64026,20979,42399,648,64022,19892,42155,1975
22061,Lincoln Parish,19179,8292,10680,207,18974,7947,10731,296,18664,7102,10761,801
40129,Roger Mills County,1789,287,1502,0,1674,272,1402,0,1758,151,1546,61
22057,Lafourche Parish,37893,9662,27089,1142,38725,9543,28332,850,41644,8423,31958,1263
40135,Sequoyah County,13920,4454,9466,0,13766,4193,9573,0,14437,3061,10888,488
51153,Prince William County,162446,93435,67621,1390,179648,103161,74371,2116,144854,83093,54065,7696
23031,York County,109161,64799,42389,1973,107627,61492,43879,2256,113962,55828,50388,7746
23015,Lincoln County,21584,11886,9287,411,20668,11298,8884,486,21432,10241,9727,1464
47025,Claiborne County,10420,3078,7175,167,10178,2433,7617,128,10706,1831,8589,286
29063,DeKalb County,4683,1692,2889,102,4350,1194,3056,100,4590,824,3540,226
42045,Delaware County,297004,178870,115273,2861,272853,164805,105270,2778,284832,169169,106559,9104
12119,Sumter County,48868,17655,30866,347,60471,19519,40644,308,76649,22631,52722,1296
36055,Monroe County,356424,207371,144262,4791,308925,178491,124769,5665,320164,174063,128871,17230
18045,Fountain County,7410,3094,4158,158,7103,2233,4660,210,7474,1476,5661,337
39063,Hancock County,36981,13870,22420,691,34940,12192,22077,671,35216,9419,23777,2020
34009,Cape May County,50835,22893,27288,654,47243,21275,25488,480,48375,18626,28237,1512
28047,Harrison County,61957,22673,38757,527,61602,22242,38646,714,62076,20679,39710,1687
05141,Van Buren County,6703,2151,4276,276,6421,1826,4362,233,7111,1547,5382,182
48343,Morris County,5248,2055,3158,35,5129,1856,3226,47,4964,1425,3443,96
30073,Pondera County,2885,1223,1588,74,2704,969,1666,69,2692,737,1786,169
47181,Wayne County,5527,1355,4076,96,5484,1163,4251,70,5842,717,5034,91
48153,Floyd County,2521,730,1784,7,2085,551,1523,11,1958,435,1473,50
46119,Sully County,833,233,581,19,816,186,611,19,861,137,679,45
19097,Jackson County,9955,6102,3673,180,10166,5877,4171,118,10204,3837,5821,546
28087,Lowndes County,27465,13209,13994,262,24674,12037,12399,238,25139,11545,13124,470
17155,Putnam County,3337,1900,1378,59,3132,1558,1500,74,3076,1143,1762,171
45073,Oconee County,31132,9481,21164,487,30613,8537,21573,503,33530,7979,24096,1455
36101,Steuben County,41911,17148,24203,560,35659,14586,20425,648,38373,11215,25091,2067
37143,Perquimans County,6501,2772,3678,51,6621,2747,3814,60,6595,2291,4143,161
28035,Forrest County,27184,11622,15296,266,27789,12079,15339,371,27284,11271,15149,864
31027,Cedar County,4174,1190,2912,72,4260,952,3231,77,4360,572,3533,255
13141,Hancock County,4344,3535,795,14,4076,3301,764,11,3572,2695,841,36
39091,Logan County,22217,7936,13848,433,20535,6789,13323,423,21007,4537,15586,884
39059,Guernsey County,17325,7625,9197,503,16403,7226,8811,366,16156,4286,11164,706
48297,Live Oak County,4176,1048,3095,33,4108,915,3153,40,4267,739,3450,78
47151,Scott County,6783,1720,4931,132,6668,1452,5117,99,7123,934,6044,145
30027,Fergus County,6232,1933,4108,191,6044,1628,4243,173,5782,1196,4235,351
35021,Harding County,626,260,358,8,600,260,326,14,527,156,311,60
23027,Waldo County,21850,11967,9423,460,20976,11292,9055,629,22630,10442,10378,1810
49007,Carbon County,7777,3468,4091,218,7231,2204,4834,193,7654,1673,5055,926
20053,Ellsworth County,2938,851,2021,66,2677,696,1905,76,2626,515,1933,178
27113,Pennington County,6822,3394,3248,180,6493,3024,3304,165,6671,2146,4000,525
27159,Wadena County,7169,2882,4128,159,6772,2492,4143,137,6894,1684,4837,373
18131,Pulaski County,5964,2466,3388,110,5399,1899,3366,134,5437,1327,3854,256
38041,Hettinger County,1348,406,893,49,1351,313,998,40,1261,168,1032,61
28003,Alcorn County,15182,4130,10805,247,14682,3449,11027,206,14781,2684,11817,280
19143,Osceola County,3127,1037,2027,63,3179,909,2225,45,3197,552,2528,117
50009,Essex County,3101,1733,1284,84,2769,1539,1169,61,2706,1019,1506,181
01015,Calhoun County,49242,16334,32348,560,46240,15500,30272,468,47376,13197,32803,1376
13253,Seminole County,3996,1660,2315,21,3765,1475,2244,46,3577,1186,2343,48
06105,Trinity County,6374,3233,2940,201,5030,2367,2422,241,4716,1876,2409,431
17181,Union County,9116,3918,5003,195,8274,3135,4951,188,8514,2389,5780,345
31055,Douglas County,226701,116810,106291,3600,210501,99261,108319,2921,219531,105207,102151,12173
51670,Hopewell City,9524,5285,4149,90,9011,5178,3737,96,8968,4722,3885,361
20095,Kingman County,3664,963,2603,98,3199,731,2371,97,3281,594,2507,180
21209,Scott County,19730,7712,11782,236,20565,7532,12679,354,24159,7713,15052,1394
48467,Van Zandt County,20395,4505,15734,156,19081,3083,15790,208,21689,2792,18436,461
31177,Washington County,10320,3711,6425,184,10121,3103,6857,161,10584,2606,7374,604
29199,Scotland County,2098,793,1249,56,1936,643,1246,47,1968,365,1525,78
47027,Clay County,2994,1248,1676,70,2820,1037,1747,36,2919,707,2140,72
55111,Sauk County,30626,18167,11562,447,31832,18718,12829,285,33848,16050,15871,1927
48045,Briscoe County,830,205,617,8,700,117,576,7,734,91,625,18
45007,Anderson County,73787,24132,48690,965,71901,22315,48493,1093,80296,21040,56109,3147
48125,Dickens County,972,234,730,8,1019,216,793,10,909,128,755,26
19173,Taylor County,3026,1347,1607,72,2978,1261,1680,37,3003,755,2108,140
37193,Wilkes County,29724,8934,20288,502,28852,8089,20410,353,30844,6596,23613,635
27081,Lincoln County,3126,1517,1491,118,3113,1428,1594,91,3002,860,1930,212
48369,Parmer County,3713,719,2969,25,2545,528,2005,12,2818,848,1911,59
01005,Barbour County,11630,5697,5866,67,11459,5873,5539,47,10390,4848,5431,111
42125,Washington County,98047,46122,50752,1173,90078,38503,50455,1120,96945,34436,58941,3568
51035,Carroll County,12579,4109,8187,283,12315,3500,8351,464,13587,2557,10653,377
47033,Crockett County,6037,1967,3994,76,5497,1669,3782,46,5386,1302,3977,107
39021,Champaign County,18887,7385,11141,361,20016,7826,11852,338,17597,4488,12314,795
36049,Lewis County,11138,4986,5969,183,9481,4263,5083,135,10312,2828,6916,568
29143,New Madrid County,8092,3370,4593,129,7250,2814,4284,152,7352,1933,5270,149
51135,Nottoway County,6988,3413,3499,76,6844,3344,3409,91,6717,2829,3712,176
26089,Leelanau County,14464,7355,6938,171,14164,6576,7483,105,14757,6774,7239,744
48275,Knox County,1368,367,986,15,1510,332,1160,18,1358,247,1078,33
51073,Gloucester County,19222,6916,12089,217,19246,6764,12137,345,19524,5399,13087,1038
35051,Sierra County,5485,2352,3017,116,5101,1963,2928,210,5129,1600,2998,531
06069,San Benito County,19705,11917,7425,363,14972,8617,6052,303,11758,6751,4358,649
41051,Multnomah County,364710,279696,75171,9843,344614,261222,71947,11445,357762,271754,63055,22953
51610,Falls Church City,6750,4695,1970,85,7244,5006,2141,97,7667,5810,1323,534
48195,Hansford County,2102,240,1847,15,1960,158,1787,15,1947,171,1730,46
13025,Brantley County,6277,1119,5080,78,6001,939,4963,99,6285,619,5561,105
27079,Le Sueur County,15009,6994,7636,379,14730,6753,7714,263,14867,4623,9182,1062
36061,New York County,667594,572126,89906,5562,496293,417861,72300,6132,591368,515481,58935,16952
18073,Jasper County,12875,5044,7669,162,12891,4672,7955,264,13331,3329,9382,620
21183,Ohio County,9938,4059,5687,192,9646,2987,6470,189,10398,2080,7942,376
21081,Grant County,8754,3112,5510,132,8606,2810,5664,132,9551,1910,7268,373
05025,Cleveland County,3505,911,2451,143,3266,845,2313,108,3299,723,2460,116
27055,Houston County,10883,5906,4743,234,10422,5281,4951,190,10515,4145,5616,754
37129,New Hanover County,100665,49145,50544,976,102067,48038,52792,1237,108737,50219,54665,3853
26013,Baraga County,3644,1725,1846,73,3490,1574,1866,50,3486,1156,2158,172
48189,Hale County,9943,2708,7171,64,8765,2228,6417,120,8802,2090,6347,365
20171,Scott County,2179,321,1823,35,2019,271,1702,46,2159,232,1832,95
48211,Hemphill County,1570,216,1345,9,1509,192,1298,19,1687,181,1460,46
15007,Kauai County,27224,20416,6245,563,25369,18638,6121,610,26335,16456,7574,2305
54047,McDowell County,6430,3430,2882,118,6136,2086,3931,119,6179,1429,4614,136
22043,Grant Parish,8558,1474,6907,177,8666,1421,7082,163,8819,1181,7406,232
39143,Sandusky County,30373,15601,14190,582,28192,14035,13491,666,27491,9733,16045,1713
48465,Val Verde County,12820,6982,5752,86,12040,6267,5612,161,13476,6920,5856,700
48279,Lamb County,4525,1156,3344,25,4089,998,3056,35,3905,770,3040,95
37041,Chowan County,7512,3688,3773,51,7424,3507,3872,45,7108,2965,3983,160
38085,Sioux County,1378,1145,215,18,1138,900,223,15,1177,758,256,163
39115,Morgan County,6608,2966,3440,202,6042,2772,3136,134,6290,1711,4315,264
01057,Fayette County,7957,1994,5883,80,7912,1803,6034,75,8196,1358,6705,133
22017,Caddo Parish,108660,55536,52228,896,111516,57879,52378,1259,105737,53448,48977,3312
13191,McIntosh County,6229,2905,3282,42,6333,2860,3405,68,5893,2298,3482,113
51109,Louisa County,15353,6978,8182,193,16404,6949,9207,248,17507,6208,10507,792
46121,Todd County,2828,2208,571,49,2497,1976,498,23,2125,1505,487,133
31085,Hayes County,553,85,461,7,535,50,473,12,510,30,471,9
55113,Sawyer County,9085,4765,4199,121,9003,4482,4436,85,7767,2846,4625,296
06083,Santa Barbara County,174912,105614,65585,3713,147249,84279,59096,3874,139366,85147,45788,8431
51820,Waynesboro City,8860,3906,4815,139,8772,3836,4789,147,9114,3762,4798,554
28049,Hinds County,108902,75401,32949,552,97639,70512,26450,677,91536,64922,24919,1695
44003,Kent County,83678,48406,33780,1492,77247,44966,30786,1495,79691,37582,38141,3968
21229,Washington County,5275,1890,3305,80,5218,1669,3495,54,5621,1420,4013,188
37065,Edgecombe County,25930,17403,8445,82,26826,18249,8494,83,24653,16152,8219,282
27029,Clearwater County,4261,1877,2291,93,4183,1753,2359,71,4225,1100,2925,200
17061,Greene County,5807,2619,3053,135,5614,2023,3446,145,5542,1202,4139,201
21029,Bullitt County,30726,10177,20102,447,31775,9971,21306,498,36036,8255,26210,1571
51071,Giles County,7795,3192,4462,141,7544,2730,4660,154,8196,1949,5930,317
20083,Hodgeman County,1096,211,865,20,1050,178,857,15,1006,124,845,37
