,combined_fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,state_abbr,county_name,FIPS,total_votes_2012,votes_dem_2012,votes_gop_2012,county_fips,state_fips,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
0,2013,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02013,,,,,,,,,
1,2016,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02016,,,,,,,,,
2,2020,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02020,,,,,,,,,
3,2050,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02050,,,,,,,,,
4,2060,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02060,,,,,,,,,
5,2068,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02068,,,,,,,,,
6,2070,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02070,,,,,,,,,
7,2090,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02090,,,,,,,,,
8,2100,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02100,,,,,,,,,
9,2105,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02105,,,,,,,,,
10,2110,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02110,,,,,,,,,
11,2122,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02122,,,,,,,,,
12,2130,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02130,,,,,,,,,
13,2150,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02150,,,,,,,,,
14,2164,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02164,,,,,,,,,
15,2170,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02170,,,,,,,,,
16,2180,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02180,,,,,,,,,
17,2185,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02185,,,,,,,,,
18,2188,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02188,,,,,,,,,
19,2195,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02195,,,,,,,,,
20,2198,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02198,,,,,,,,,
21,2220,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02220,,,,,,,,,
22,2230,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02230,,,,,,,,,
23,2240,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02240,,,,,,,,,
24,2261,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02261,,,,,,,,,
25,2270,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02270,,,,,,,,,
26,2275,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02275,,,,,,,,,
27,2282,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02282,,,,,,,,,
28,2290,93003.0,130413.0,493176.0,0.18857973624020632,0.2644350090028712,37410,-0.07585527276266488,AK,Alaska,02290,,,,,,,,,
